Period,"Non Food Credit
 (?  Crore)","Investment In India
 (? Crore)","Aggregate Desposits 
(? Crore)","Bank Credit 
(? Crore)","Food Credit 
(? Crore)",Cash Deposit Ratio (%),Credit Deposit Ratio (%),"M3 
(? Crore)","Certificates of Deposit (Amount Outstanding) 
(? Crore)"
10/13/2017,7815444.33,3351691.91,10825793.6,7864021.59,48577.26,4.69,72.55,13127718.2,116803.23
10/27/2017,7822419.86,3330252.17,10797552.23,7884644.91,62225.05,4.75,72.92,13115316.32,128621.74
11/10/2017,7862846.2,3378759.24,10835725.94,7931080.97,68234.77,4.67,73.1,13183233.73,121648.94
11/24/2017,7860339.22,3348844.29,10794825.65,7934714.61,74375.39,4.66,73.41,13147309.31,121891
12/8/2017,7929414.54,3357543.54,10837667.6,7998188.28,68773.74,4.61,73.63,13214984.47,119659.3
12/22/2017,8001821.04,3333513.21,10820874.39,8068266.95,66445.91,4.77,74.38,13208681.45,126981
1/5/2018,8095277.71,3388124.58,10948922.02,8152767.48,57489.77,4.65,74.64,13354527.19,152553
1/19/2018,8083399.81,3363585.77,10927442.21,8142006.2,58606.39,4.7,74.42,13363233.63,168976.59
2/2/2018,8181094,3410219.7,11057589.73,8233473.08,52379.08,4.54,74.37,13496388.7,171178.44
2/16/2018,8175655.67,3402805.44,11002274.34,8223208.03,47552.36,4.63,74.65,13478992.16,177981.82
3/2/2018,8273397.01,3409075.31,11137045.55,8319032.45,45635.44,4.69,74.61,13627756.58,194581.03
3/16/2018,8304580.53,3334888.89,11111627.57,8346747.29,42166.76,4.63,75.02,13635043.95,188776.25
3/30/2018,8583435.54,3318453.77,11426049.41,8625424.85,41989.31,5.11,75.39,13966007.5,185732.44
4/13/2018,8414049.19,3382307.14,11329115.47,8446023.21,31974.02,4.47,74.49,13914187.25,203557.47
4/27/2018,8465589.58,3360808.13,11381421.7,8517625.05,52035.47,4.89,74.66,13981646.82,206807
5/11/2018,8462619.82,3390162.99,11342752.15,8520644.62,58024.8,4.58,75.03,13974411.29,204056.54
5/25/2018,8484744.87,3373884.09,11352822.42,8537655.39,52910.52,4.74,75.36,13984477.99,205222.36
6/8/2018,8528171.71,3445736.27,11408348.88,8593845.48,65673.77,4.55,75.33,14056195.37,186152.61
6/22/2018,8551880.36,3396564.36,11352982.52,8614418.55,62538.19,4.9,75.88,14003226.66,174499.1
7/6/2018,8597475.76,3471826.71,11488307.12,8656612.54,59136.78,4.76,75.35,14128810.22,168842.34
7/20/2018,8559091.22,3467345.52,11437138.74,8609733.69,50642.47,4.82,75.28,14072865.64,163850.66
8/3/2018,8623615.31,3498702.4,11577090.45,8672843.54,49228.23,4.69,74.94,14201116.89,166650.53
